epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,332.761,0.63356,1.15569,1.22827,0.67327,0.5,0.32168,0.12375,1.68085,3.45884,3.12545,0.000313729,0.000313729,0.000313729
84,337.055,0.79417,1.15833,1.27002,0.67978,0.5,0.36757,0.1164,1.44151,3.40222,2.74494,0.000297226,0.000297226,0.000297226
85,341.128,0.6474,0.94693,1.09418,0.67978,0.5,0.36757,0.1164,1.44151,3.40222,2.74494,0.000280723,0.000280723,0.000280723
86,345.583,0.67428,1.12956,1.22799,0.61534,0.5,0.3698,0.10374,1.23438,3.45725,2.5601,0.00026422,0.00026422,0.00026422
87,349.86,0.70119,0.99269,1.22923,0.61534,0.5,0.3698,0.10374,1.23438,3.45725,2.5601,0.000247716,0.000247716,0.000247716
88,354.131,0.77463,1.22739,1.23335,0.61529,0.5,0.53838,0.16055,1.41573,3.33835,2.57892,0.000231213,0.000231213,0.000231213
89,358.373,0.75546,1.12331,1.35344,0.61529,0.5,0.53838,0.16055,1.41573,3.33835,2.57892,0.00021471,0.00021471,0.00021471
90,362.568,0.62708,1.06732,1.18185,0.61253,0.66667,0.526,0.19703,1.40577,3.20167,2.43002,0.000198206,0.000198206,0.000198206
91,366.678,0.47084,1.3872,1.14434,0.61253,0.66667,0.526,0.19703,1.40577,3.20167,2.43002,0.000181703,0.000181703,0.000181703
92,370.98,0.6117,1.69243,1.17125,0.60885,0.62535,0.5315,0.27459,1.32144,2.99305,2.27446,0.0001652,0.0001652,0.0001652
93,375.143,1.0968,1.95227,1.84707,0.60885,0.62535,0.5315,0.27459,1.32144,2.99305,2.27446,0.000148696,0.000148696,0.000148696
94,379.128,0.51615,1.4857,1.21848,0.55417,0.66667,0.5215,0.28224,1.3109,2.86882,2.25559,0.000132193,0.000132193,0.000132193
95,383.286,0.83961,1.79333,1.60188,0.55417,0.66667,0.5215,0.28224,1.3109,2.86882,2.25559,0.00011569,0.00011569,0.00011569
96,387.759,0.43093,1.41605,1.16322,0.56323,0.66667,0.5095,0.26601,1.31537,2.84261,2.28723,9.91865e-05,9.91865e-05,9.91865e-05
97,391.814,0.46524,1.63394,1.16681,0.56323,0.66667,0.5095,0.26601,1.31537,2.84261,2.28723,8.26832e-05,8.26832e-05,8.26832e-05
98,396.285,0.47837,1.68559,1.25613,0.58268,0.66667,0.504,0.27168,1.35121,2.924,2.32369,6.61799e-05,6.61799e-05,6.61799e-05
99,400.654,0.42342,1.10705,1.0987,0.58268,0.66667,0.504,0.27168,1.35121,2.924,2.32369,4.96766e-05,4.96766e-05,4.96766e-05
100,404.799,0.52535,1.28058,1.34355,0.56142,0.66667,0.50562,0.26607,1.42285,2.94404,2.36774,3.31733e-05,3.31733e-05,3.31733e-05
